lat,long,week1,week2,week3,week4,fourweek_avg
31.0274997827363,-103.449166508042,0.5,0.5,0.5,1.0,0.625
31.0424997830995,-103.4391665078,0.5,0.5,0.5,1.0,0.625
31.0541664500487,-103.429999840911,0.5,0.5,1.0,1.0,0.75
31.0674997837049,-103.419166507316,0.5,0.5,1.0,1.0,0.75
31.0808331173611,-103.420833174023,0.5,0.5,1.0,1.0,0.75
31.0949997843708,-103.412499840488,0.5,0.5,1.0,1.0,0.75
31.1108331180875,-103.411666507134,0.5,1.0,1.0,0.5,0.75
31.1266664518042,-103.410833173781,0.5,1.0,1.0,0.5,0.75
31.1416664521674,-103.409166507074,0.5,1.0,1.0,0.5,0.75
31.1549997858236,-103.409166507074,1.0,1.0,0.5,0.5,0.75
31.1649997860658,-103.396666506771,1.0,1.0,0.5,0.5,0.75
31.0124997823731,-103.335833171965,0.5,0.5,0.5,1.0,0.625
31.0283331160898,-103.333333171904,0.5,0.5,0.5,1.0,0.625
31.041666449746,-103.330833171843,0.5,0.5,0.5,1.0,0.625
31.0574997834627,-103.326666505076,0.5,0.5,1.0,1.0,0.75
31.0724997838259,-103.319999838248,0.5,0.5,1.0,1.0,0.75
31.0858331174821,-103.311666504713,0.5,0.5,1.0,1.0,0.75
31.0983331177848,-103.305833171238,0.5,0.5,1.0,1.0,0.75
31.109999784734,-103.309166504652,0.5,1.0,1.0,0.5,0.75
31.1241664517437,-103.305833171238,0.5,1.0,1.0,0.5,0.75
31.1383331187534,-103.299999837764,0.5,1.0,1.0,0.5,0.75
31.1508331190561,-103.290833170875,1.0,1.0,0.5,0.5,0.75
31.1666664527728,-103.294999837642,1.0,1.0,0.5,0.5,0.75
31.1708331195404,-103.276666503865,1.0,1.0,0.5,0.5,0.75
31.1858331199036,-103.269999837037,1.0,1.0,0.5,0.5,0.75
31.2000128702133,-103.268320087185,1.0,0.5,0.5,0.5,0.625
31.1749997863079,-103.398333173478,1.0,1.0,0.5,0.5,0.75
31.1858331199036,-103.389999839943,1.0,1.0,0.5,0.5,0.75
31.2000334788622,-103.386632814969,1.0,0.5,0.5,0.5,0.625
31.0599997835233,-103.36083317257,0.5,0.5,1.0,1.0,0.75
31.0749997838865,-103.354999839095,0.5,0.5,1.0,1.0,0.75
31.0866664508356,-103.343333172146,0.5,0.5,1.0,1.0,0.75
31.0991664511383,-103.333333171904,0.5,0.5,1.0,1.0,0.75
31.1108331180875,-103.323333171662,0.5,1.0,1.0,0.5,0.75
31.1241664517437,-103.319999838248,0.5,1.0,1.0,0.5,0.75
31.1399997854604,-103.316666504834,0.5,1.0,1.0,0.5,0.75
31.1549997858236,-103.309166504652,1.0,1.0,0.5,0.5,0.75
31.1691664528333,-103.303333171178,1.0,1.0,0.5,0.5,0.75
31.07583311724,-103.389166506589,0.5,0.5,1.0,1.0,0.75
31.0916664509567,-103.386666506529,0.5,0.5,1.0,1.0,0.75
31.1074997846734,-103.388333173236,0.5,1.0,1.0,0.5,0.75
31.1216664516832,-103.383333173115,0.5,1.0,1.0,0.5,0.75
31.1374997853999,-103.380833173054,0.5,1.0,1.0,0.5,0.75
31.1524997857631,-103.386666506529,1.0,1.0,0.5,0.5,0.75
31.0174997824942,-103.380833173054,0.5,0.5,0.5,1.0,0.625
31.0316664495039,-103.37749983964,0.5,0.5,0.5,1.0,0.625
31.0449997831601,-103.369999839459,0.5,0.5,0.5,1.0,0.625
31.0741662870877,-103.25,0.5,0.5,1.0,1.0,0.75
31.1699997861868,-103.289999837521,1.0,1.0,0.5,0.5,0.75
31.0916664509572,-103.25,0.5,0.5,1.0,1.0,0.75
